College,Course,Category,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,GN PWD,288993,,,435530,435530
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,OBC,,10663,11249,10088,10088
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,OBC PWD,,351119,823828,,
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,SC,55732,60802,65022,64119,64119
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,ST,73951,78590,83713,66562,66562
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,ST PWD,442424,,,,
Aarupadai Veedu Medical College and Hospt.,MBBS,EWS,,578821,760489,986104,986104
Aarupadai Veedu Medical College and Hospt.,MBBS,GN,608167,681707,764950,1034896,1034896
Aarupadai Veedu Medical College and Hospt.,MBBS,OBC,,678935,754287,1035938,1035938
Aarupadai Veedu Medical College and Hospt.,MBBS,SC,,677740,740343,1033267,1033267
Aarupadai Veedu Medical College and Hospt.,MBBS,ST,,,726036,1015597,1015597
Amrita Institute of Medical Science,MBBS,EWS,,108077,95544,,
Amrita Institute of Medical Science,MBBS,GN,455072,720381,821978,1044974,1044974
Amrita Institute of Medical Science,MBBS,OBC,,822161,769217,269345,269345
Amrita Institute of Medical Science,MBBS,SC,,,144855,206265,206265
Amrita Institute of Medical Science,MBBS,ST,,,,528896,528896
Amrita School of Dentistry,BDS,EWS,,345207,,654321,654321
Amrita School of Dentistry,BDS,GN,640423,717066,851229,719816,719816
Amrita School of Dentistry,BDS,OBC,,793217,908404,714017,714017
Amrita School of Dentistry,BDS,SC,,,252127,462034,462034
Amrita School of Dentistry,BDS,ST,,,493671,,
Amrita School of Medicine Faridabad,MBBS,EWS,,,,136923,136923
Amrita School of Medicine Faridabad,MBBS,GN,,,,1138051,1138051
Amrita School of Medicine Faridabad,MBBS,GN PWD,,,,234346,234346
Amrita School of Medicine Faridabad,MBBS,OBC,,,,1389425,1389425
Amrita School of Medicine Faridabad,MBBS,ST,,,,182127,182127
Andaman and Nicobar Islands Institute of Medical S,MBBS,EWS,,14000,14169,21479,21479
Andaman and Nicobar Islands Institute of Medical S,MBBS,GN,12133,12745,9043,15675,15675
Andaman and Nicobar Islands Institute of Medical S,MBBS,GN PWD,421773,,698832,,
Andaman and Nicobar Islands Institute of Medical S,MBBS,OBC,,14065,16535,17362,17362
Andaman and Nicobar Islands Institute of Medical S,MBBS,OBC PWD,,,,864414,864414
Andaman and Nicobar Islands Institute of Medical S,MBBS,SC,68520,69643,76379,89626,89626
Andaman and Nicobar Islands Institute of Medical S,MBBS,ST,77362,92413,94360,99902,99902
Andhra Medical College,MBBS,EWS,,6510,6736,8216,8216
Andhra Medical College,MBBS,EWS PWD,,,579115,,
Andhra Medical College,MBBS,GN,4459,4941,5071,3846,3846
Andhra Medical College,MBBS,GN PWD,155006,289580,,239246,239246
Andhra Medical College,MBBS,OBC,,6696,7565,6372,6372
Andhra Medical College,MBBS,OBC PWD,,489419,502728,537197,537197
Andhra Medical College,MBBS,SC,29476,48517,44708,39830,39830
Andhra Medical College,MBBS,SC PWD,588970,,908078,687949,687949
Andhra Medical College,MBBS,ST,46634,58221,69819,74085,74085
Andhra Medical College,MBBS,ST PWD,500187,,513614,,
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,EWS,7237,5139,5797,5971,5971
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,GN,4437,27583,839489,286497,286497
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,GN PWD,714255,682338,653347,568064,568064
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,OBC,12638,23726,28949,646161,646161
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,SC,52218,45096,166443,49180,49180
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,ST,158475,182681,182050,168904,168904
Autonomous State Medical Collage,MBBS,EWS,,,,15225,15225
Autonomous State Medical Collage,MBBS,GN,,,,12394,12394
Autonomous State Medical Collage,MBBS,OBC,,,,14430,14430
Autonomous State Medical Collage,MBBS,SC,,,,83287,83287
Autonomous State Medical Collage,MBBS,ST,,,,108139,108139
Autonomous State Medical College,MBBS,EWS,,11101,13035,12716,12716
Autonomous State Medical College,MBBS,EWS PWD,,,509259,878113,878113
Autonomous State Medical College,MBBS,GN,,9676,10502,11757,11757
Autonomous State Medical College,MBBS,GN PWD,,315426,513570,,
Autonomous State Medical College,MBBS,OBC,,11677,11567,12941,12941
Autonomous State Medical College,MBBS,OBC PWD,,374892,503155,489456,489456
Autonomous State Medical College,MBBS,SC,,52624,69106,72782,72782
Autonomous State Medical College,MBBS,SC PWD,,869844,,1057792,1057792
Autonomous State Medical College,MBBS,ST,,84723,96058,101873,101873
Autonomous State Medical College,MBBS,ST PWD,,,,1043751,1043751
Autonomous State Medical College Society,MBBS,EWS,,12427,13627,14577,14577
Autonomous State Medical College Society,MBBS,GN,,11828,12620,13014,13014
Autonomous State Medical College Society,MBBS,GN PWD,,,610456,,
Autonomous State Medical College Society,MBBS,OBC,,13098,14009,15012,15012
Autonomous State Medical College Society,MBBS,SC,,65476,73763,85318,85318
Autonomous State Medical College Society,MBBS,ST,,92769,109633,103534,103534
Autonomous State Medical college Society Hardoi,MBBS,EWS,,12371,,14504,14504
Autonomous State Medical college Society Hardoi,MBBS,EWS PWD,,,779975,,
Autonomous State Medical college Society Hardoi,MBBS,GN,,11783,11377,12321,12321
Autonomous State Medical college Society Hardoi,MBBS,GN PWD,,,,608295,608295
Autonomous State Medical college Society Hardoi,MBBS,OBC,,12685,12666,13512,13512
Autonomous State Medical college Society Hardoi,MBBS,SC,,64213,68885,84642,84642
Autonomous State Medical college Society Hardoi,MBBS,SC PWD,,,562746,,
Autonomous State Medical college Society Hardoi,MBBS,ST,,89740,,117237,117237
B.J. Government Medical College,MBBS,EWS,,,,5164,5164
B.J. Government Medical College,MBBS,GN,,,,2379,2379
B.J. Government Medical College,MBBS,OBC,,,,4598,4598
B.J. Government Medical College,MBBS,OBC PWD,,,,308810,308810
B.J. Government Medical College,MBBS,SC,,,,28594,28594
B.J. Government Medical College,MBBS,SC PWD,,,,88680,88680
B.J. Government Medical College,MBBS,ST,,,,72444,72444
B.J. MEDICAL COLLEGE,MBBS,EWS,,1230,1579,2416,2416
B.J. MEDICAL COLLEGE,MBBS,GN,970,706,619,676,676
B.J. MEDICAL COLLEGE,MBBS,GN PWD,137735,,,,
B.J. MEDICAL COLLEGE,MBBS,OBC,,1920,2036,2180,2180
B.J. MEDICAL COLLEGE,MBBS,OBC PWD,,,397293,402530,402530
B.J. MEDICAL COLLEGE,MBBS,SC,13789,9767,13912,14266,14266
B.J. MEDICAL COLLEGE,MBBS,SC PWD,,402342,,,
B.J. MEDICAL COLLEGE,MBBS,ST,29488,17173,34545,38407,38407
B.J. MEDICAL COLLEGE,MBBS,ST PWD,,747841,,,
B.L.D.E University,MBBS,EWS,,214971,226140,261752,261752
B.L.D.E University,MBBS,GN,754286,668345,872793,1125560,1125560
B.L.D.E University,MBBS,OBC,,252147,546385,1353253,1353253
B.L.D.E University,MBBS,SC,,251364,221867,247264,247264
B.L.D.E University,MBBS,ST,,251194,,,
B.R.D. MEDICAL COLLEGE,MBBS,EWS,,6602,6555,6174,6174
B.R.D. MEDICAL COLLEGE,MBBS,GN,,5710,5315,5835,5835
B.R.D. MEDICAL COLLEGE,MBBS,GN PWD,,257801,,,
B.R.D. MEDICAL COLLEGE,MBBS,OBC,,6712,7187,6961,6961
B.R.D. MEDICAL COLLEGE,MBBS,SC,,50350,54212,47762,47762
B.R.D. MEDICAL COLLEGE,MBBS,ST,,76217,72179,82531,82531
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,EWS,,3986,3318,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,EWS PWD,,,270558,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,GN,2295,1382,1642,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,GN PWD,254865,,,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,OBC,,3131,4759,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,OBC PWD,,220268,,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,SC,16203,28606,30891,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,SC PWD,366095,360239,966727,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,ST,42462,58625,58140,,
BAHIRAMJEE JIJIBHAI MEDICAL COLLGE,MBBS,ST PWD,656133,,,,
BANGALORE MED. COLLEGE,MBBS,GN,1407,,,,
BANGALORE MED. COLLEGE,MBBS,GN PWD,228370,,,,
BANGALORE MED. COLLEGE,MBBS,SC,13930,,,,
BANGALORE MED. COLLEGE,MBBS,ST,32046,,,,
BANKURA SAMMILANI MED COLL,MBBS,EWS,,10908,12377,13027,13027
BANKURA SAMMILANI MED COLL,MBBS,GN,10364,8252,10087,10552,10552
BANKURA SAMMILANI MED COLL,MBBS,GN PWD,334977,289828,631104,,
