College,Course,Category,Allotted_Rank_2023,Allotted_Rank_2024
Indian Institute Of Technology Jammu,"MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,1957,1907
Indian Institute Of Technology Jammu,"MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,4401,4738
Indian Institute Of Technology Jammu,"MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,11770,11816
Indian Institute Of Technology Jammu,"MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,2471,2518
Indian Institute Of Technology Jammu,"MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,1093,1155
"Institute Of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar","CHEMICAL ENGINEERING (5 YEARS, INTEGRATED MASTERS IN TECHNOLOGY)",EWS,7947,13756
"Institute Of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar","CHEMICAL ENGINEERING (5 YEARS, INTEGRATED MASTERS IN TECHNOLOGY)",OBC-NCL,16235,18353
"Institute Of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar","CHEMICAL ENGINEERING (5 YEARS, INTEGRATED MASTERS IN TECHNOLOGY)",OPEN,43834,69926
"Institute Of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar","CHEMICAL ENGINEERING (5 YEARS, INTEGRATED MASTERS IN TECHNOLOGY)",OPEN (PWD),2554,1275
"Institute Of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar","CHEMICAL ENGINEERING (5 YEARS, INTEGRATED MASTERS IN TECHNOLOGY)",SC,10930,10210
"Institute Of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar","CHEMICAL ENGINEERING (5 YEARS, INTEGRATED MASTERS IN TECHNOLOGY)",ST,4442,4088
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","AERONAUTICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,9388,10899
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","AERONAUTICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,18560,21720
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","AERONAUTICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,49081,58848
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","AERONAUTICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,8641,8752
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","AERONAUTICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,4244,4624
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,9010,9280
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,17823,19025
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,51625,51472
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,9236,10246
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,4446,4845
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","DAIRY ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,11050,14341
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","DAIRY ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,22366,28888
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","DAIRY ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,66702,83595
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","DAIRY ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,11098,13730
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","DAIRY ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,5387,6691
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,10025,11329
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,20502,23235
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,58242,64313
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,10249,12215
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,5191,5701
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","FASHION AND APPAREL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,11504,14270
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","FASHION AND APPAREL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,23157,28499
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","FASHION AND APPAREL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,69045,80215
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","FASHION AND APPAREL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,11302,13399
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","FASHION AND APPAREL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,5480,6500
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","FOOD ENGINEERING  AND TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,12139,14798
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","FOOD ENGINEERING  AND TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,23824,29416
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","FOOD ENGINEERING  AND TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,73119,84242
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","FOOD ENGINEERING  AND TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,11416,14040
"Institute Of Engineering And Technology, Dr. H. S. Gour University. Sagar (A Central University)","FOOD ENGINEERING  AND TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,5550,6689
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,9088,10216
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,17888,21010
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,51821,54983
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,8879,11196
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,3147,4077
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","COMPUTER ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,5745,5592
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","COMPUTER ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,12171,14876
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","COMPUTER ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,31807,30590
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","COMPUTER ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,7287,7676
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","COMPUTER ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,3651,3544
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","ELECTRICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,7963,8517
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","ELECTRICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,16472,17400
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","ELECTRICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,44137,45850
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","ELECTRICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),2599,2328
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","ELECTRICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,8536,9843
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","ELECTRICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,3929,4358
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,9027,8951
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,18334,20205
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,49553,50785
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,8382,10482
"Institute Of Infrastructure, Technology, Research And Management-Ahmedabad","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,4262,4241
"International Institute Of Information Technology, Bhubaneswar","COMPUTER ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,4701,5125
"International Institute Of Information Technology, Bhubaneswar","COMPUTER ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,10972,12952
"International Institute Of Information Technology, Bhubaneswar","COMPUTER ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,27112,30752
"International Institute Of Information Technology, Bhubaneswar","COMPUTER ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),888,1199
"International Institute Of Information Technology, Bhubaneswar","COMPUTER ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,6499,7871
"International Institute Of Information Technology, Bhubaneswar","COMPUTER ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,3392,3623
"International Institute Of Information Technology, Bhubaneswar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,4447,5038
"International Institute Of Information Technology, Bhubaneswar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,9903,11724
"International Institute Of Information Technology, Bhubaneswar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),727,476
"International Institute Of Information Technology, Bhubaneswar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,23164,26805
"International Institute Of Information Technology, Bhubaneswar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),850,1050
"International Institute Of Information Technology, Bhubaneswar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,4921,6632
"International Institute Of Information Technology, Bhubaneswar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC (PWD),99,327
"International Institute Of Information Technology, Bhubaneswar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,2810,3067
"International Institute Of Information Technology, Bhubaneswar","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,5776,6203
"International Institute Of Information Technology, Bhubaneswar","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,13404,14591
"International Institute Of Information Technology, Bhubaneswar","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,33183,35997
"International Institute Of Information Technology, Bhubaneswar","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1409,1301
"International Institute Of Information Technology, Bhubaneswar","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,7229,8479
"International Institute Of Information Technology, Bhubaneswar","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,3379,3944
"International Institute Of Information Technology, Bhubaneswar","ELECTRONICS AND TELECOMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,5488,5923
"International Institute Of Information Technology, Bhubaneswar","ELECTRONICS AND TELECOMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,13051,14152
"International Institute Of Information Technology, Bhubaneswar","ELECTRONICS AND TELECOMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,31194,34295
"International Institute Of Information Technology, Bhubaneswar","ELECTRONICS AND TELECOMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1426,1145
"International Institute Of Information Technology, Bhubaneswar","ELECTRONICS AND TELECOMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,7289,8029
"International Institute Of Information Technology, Bhubaneswar","ELECTRONICS AND TELECOMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,3390,3687
"International Institute Of Information Technology, Bhubaneswar","INFORMATION TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,4710,5336
"International Institute Of Information Technology, Bhubaneswar","INFORMATION TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,10875,13099
"International Institute Of Information Technology, Bhubaneswar","INFORMATION TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,27288,30260
"International Institute Of Information Technology, Bhubaneswar","INFORMATION TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1245,1025
"International Institute Of Information Technology, Bhubaneswar","INFORMATION TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,6380,7545
"International Institute Of Information Technology, Bhubaneswar","INFORMATION TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,3066,3326
"International Institute Of Information Technology, Naya Raipur","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,6475,7370
"International Institute Of Information Technology, Naya Raipur","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,17058,17593
"International Institute Of Information Technology, Naya Raipur","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,4030,4976
"International Institute Of Information Technology, Naya Raipur","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,2194,2645
"International Institute Of Information Technology, Naya Raipur","DATA SCIENCE AND ARTIFICIAL INTELLIGENCE (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,7454,8125
"International Institute Of Information Technology, Naya Raipur","DATA SCIENCE AND ARTIFICIAL INTELLIGENCE (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,20183,20136
"International Institute Of Information Technology, Naya Raipur","DATA SCIENCE AND ARTIFICIAL INTELLIGENCE (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,5092,6158
"International Institute Of Information Technology, Naya Raipur","DATA SCIENCE AND ARTIFICIAL INTELLIGENCE (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,2314,3149
"International Institute Of Information Technology, Naya Raipur","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,11183,11311
"International Institute Of Information Technology, Naya Raipur","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,28068,28939
"International Institute Of Information Technology, Naya Raipur","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1885,1685
"International Institute Of Information Technology, Naya Raipur","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,6454,8413
"International Institute Of Information Technology, Naya Raipur","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,2440,3144
"J.K. Institute Of Applied Physics & Technology, Department Of Electronics & Communication, University Of Allahabad- Allahabad","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,7962,8677
"J.K. Institute Of Applied Physics & Technology, Department Of Electronics & Communication, University Of Allahabad- Allahabad","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,16163,18052
"J.K. Institute Of Applied Physics & Technology, Department Of Electronics & Communication, University Of Allahabad- Allahabad","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),754,950
"J.K. Institute Of Applied Physics & Technology, Department Of Electronics & Communication, University Of Allahabad- Allahabad","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,46105,48188
"J.K. Institute Of Applied Physics & Technology, Department Of Electronics & Communication, University Of Allahabad- Allahabad","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1437,2106
"J.K. Institute Of Applied Physics & Technology, Department Of Electronics & Communication, University Of Allahabad- Allahabad","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,8338,9329
"J.K. Institute Of Applied Physics & Technology, Department Of Electronics & Communication, University Of Allahabad- Allahabad","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,4026,4634
"Jawaharlal Nehru University, Delhi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,4043,4260
"Jawaharlal Nehru University, Delhi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,8873,10003
"Jawaharlal Nehru University, Delhi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),371,322
"Jawaharlal Nehru University, Delhi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,22689,22669
"Jawaharlal Nehru University, Delhi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),547,75
"Jawaharlal Nehru University, Delhi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,3145,4379
"Jawaharlal Nehru University, Delhi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC (PWD),157,314
"Jawaharlal Nehru University, Delhi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,1723,2165
"Jawaharlal Nehru University, Delhi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,5130,5891
"Jawaharlal Nehru University, Delhi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,11734,12811
"Jawaharlal Nehru University, Delhi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),744,431
"Jawaharlal Nehru University, Delhi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,28584,30508
"Jawaharlal Nehru University, Delhi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1678,561
"Jawaharlal Nehru University, Delhi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,4824,6032
"Jawaharlal Nehru University, Delhi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,2560,3013
Malaviya National Institute Of Technology Jaipur,"ARCHITECTURE  (5 YEARS, BACHELOR OF ARCHITECTURE)",EWS,109,426
Malaviya National Institute Of Technology Jaipur,"ARCHITECTURE  (5 YEARS, BACHELOR OF ARCHITECTURE)",OBC-NCL,1551,397
Malaviya National Institute Of Technology Jaipur,"ARCHITECTURE  (5 YEARS, BACHELOR OF ARCHITECTURE)",OPEN,1494,745
Malaviya National Institute Of Technology Jaipur,"ARCHITECTURE  (5 YEARS, BACHELOR OF ARCHITECTURE)",SC,119,368
Malaviya National Institute Of Technology Jaipur,"ARCHITECTURE  (5 YEARS, BACHELOR OF ARCHITECTURE)",ST,20,326
Malaviya National Institute Of Technology Jaipur,"ARTIFICIAL INTELLIGENCE AND DATA ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,1545,1865
Malaviya National Institute Of Technology Jaipur,"ARTIFICIAL INTELLIGENCE AND DATA ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,1878,1881
Malaviya National Institute Of Technology Jaipur,"ARTIFICIAL INTELLIGENCE AND DATA ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,5434,5202
Malaviya National Institute Of Technology Jaipur,"ARTIFICIAL INTELLIGENCE AND DATA ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,1106,1015
Malaviya National Institute Of Technology Jaipur,"ARTIFICIAL INTELLIGENCE AND DATA ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,2008,1168
Malaviya National Institute Of Technology Jaipur,"CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,3634,4211
Malaviya National Institute Of Technology Jaipur,"CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,12375,13994
Malaviya National Institute Of Technology Jaipur,"CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),632,587
Malaviya National Institute Of Technology Jaipur,"CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,22184,22859
Malaviya National Institute Of Technology Jaipur,"CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1642,1615
Malaviya National Institute Of Technology Jaipur,"CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,4527,4559
Malaviya National Institute Of Technology Jaipur,"CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,1470,2126
Malaviya National Institute Of Technology Jaipur,"CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,4489,5119
Malaviya National Institute Of Technology Jaipur,"CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS (PWD),238,331
Malaviya National Institute Of Technology Jaipur,"CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,14355,14329
Malaviya National Institute Of Technology Jaipur,"CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,27548,27906
Malaviya National Institute Of Technology Jaipur,"CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),439,3096
Malaviya National Institute Of Technology Jaipur,"CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,3944,4095
Malaviya National Institute Of Technology Jaipur,"CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC (PWD),88,156
Malaviya National Institute Of Technology Jaipur,"CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,1601,261
Malaviya National Institute Of Technology Jaipur,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,1028,1718
Malaviya National Institute Of Technology Jaipur,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS (PWD),131,117
Malaviya National Institute Of Technology Jaipur,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,1647,1534
Malaviya National Institute Of Technology Jaipur,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),115,95
Malaviya National Institute Of Technology Jaipur,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,4490,4396
Malaviya National Institute Of Technology Jaipur,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),198,68
Malaviya National Institute Of Technology Jaipur,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,1045,961
Malaviya National Institute Of Technology Jaipur,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC (PWD),19,30
Malaviya National Institute Of Technology Jaipur,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,220,269
Malaviya National Institute Of Technology Jaipur,"ELECTRICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,2052,2297
