"College","Course","Category","Predicted_Rank_2025"
"Andhra Medical College","MBBS","OBC PWD",646044.88
"Andhra Medical College","MBBS","SC",50812.91
"Andhra Medical College","MBBS","SC PWD",700351.565
"Andhra Medical College","MBBS","ST",78833.34
"Atal Bihari Vajpayee Institute of Medical Sciences","MBBS","EWS",9325.445
"Atal Bihari Vajpayee Institute of Medical Sciences","MBBS","GN",189576.62
"Atal Bihari Vajpayee Institute of Medical Sciences","MBBS","GN PWD",529570.825
"Atal Bihari Vajpayee Institute of Medical Sciences","MBBS","OBC",10026.56
"Atal Bihari Vajpayee Institute of Medical Sciences","MBBS","SC",55108.76
"Atal Bihari Vajpayee Institute of Medical Sciences","MBBS","ST",124601.845
"Autonomous State Medical Collage","MBBS","EWS",13923.29
"Autonomous State Medical Collage","MBBS","GN",123601.57
"Autonomous State Medical Collage","MBBS","OBC",14142.615
"Autonomous State Medical Collage","MBBS","SC",56668.46
"Autonomous State Medical Collage","MBBS","ST",106983.015
"Autonomous State Medical College","MBBS","EWS",13280.725
"Autonomous State Medical College","MBBS","EWS PWD",867496.88
"Autonomous State Medical College","MBBS","GN",47622.49
"Autonomous State Medical College","MBBS","OBC",13216.67
"Autonomous State Medical College","MBBS","OBC PWD",514219.44
"Autonomous State Medical College","MBBS","SC",71163.04
"Autonomous State Medical College","MBBS","SC PWD",947520.155
"Autonomous State Medical College","MBBS","ST",104159.08
"Autonomous State Medical College","MBBS","ST PWD",801965.77
"Autonomous State Medical College Society","MBBS","EWS",14272.45
"Autonomous State Medical College Society","MBBS","GN",27314.83
"Autonomous State Medical College Society","MBBS","OBC",14521.85
"Autonomous State Medical College Society","MBBS","SC",77774.535
"Autonomous State Medical College Society","MBBS","ST",103632.365
"Autonomous State Medical college Society Hardoi","MBBS","EWS",14243.13
"Autonomous State Medical college Society Hardoi","MBBS","GN",18041.295
"Autonomous State Medical college Society Hardoi","MBBS","GN PWD",583119.525
"Autonomous State Medical college Society Hardoi","MBBS","OBC",13574.595
"Autonomous State Medical college Society Hardoi","MBBS","SC",77949.655
"Autonomous State Medical college Society Hardoi","MBBS","ST",109053.86
"B.J. Government Medical College","MBBS","EWS",9028.92
"B.J. Government Medical College","MBBS","GN",22113.175
"B.J. Government Medical College","MBBS","OBC",14646.06
"B.J. Government Medical College","MBBS","OBC PWD",394250.755
"B.J. Government Medical College","MBBS","SC",40415.72
"B.J. Government Medical College","MBBS","SC PWD",208863.33
"B.J. Government Medical College","MBBS","ST",74718.97
"B.J. MEDICAL COLLEGE","MBBS","EWS",6894.98
"B.J. MEDICAL COLLEGE","MBBS","GN",46313.35
"B.J. MEDICAL COLLEGE","MBBS","OBC",63496.07
"B.J. MEDICAL COLLEGE","MBBS","OBC PWD",431390.09
"B.J. MEDICAL COLLEGE","MBBS","SC",22707.505
"B.J. MEDICAL COLLEGE","MBBS","ST",43684.355
"B.L.D.E University","MBBS","EWS",225741.35
"B.L.D.E University","MBBS","GN",886573.42
"B.L.D.E University","MBBS","OBC",1152364.02
"B.L.D.E University","MBBS","SC",217364.44
"B.R.D. MEDICAL COLLEGE","MBBS","EWS",29176.385
"B.R.D. MEDICAL COLLEGE","MBBS","GN",775870.76
"B.R.D. MEDICAL COLLEGE","MBBS","OBC",94749.11
"B.R.D. MEDICAL COLLEGE","MBBS","SC",59440.14
"B.R.D. MEDICAL COLLEGE","MBBS","ST",65636.745
"BANKURA SAMMILANI MED COLL","MBBS","EWS",41245.025
"BANKURA SAMMILANI MED COLL","MBBS","GN",83506.045
"BANKURA SAMMILANI MED COLL","MBBS","OBC",65057.87
"BANKURA SAMMILANI MED COLL","MBBS","OBC PWD",692913.955
"BANKURA SAMMILANI MED COLL","MBBS","SC",72925.375
"BANKURA SAMMILANI MED COLL","MBBS","ST",173164.35
"BELGAUM INST. OF MEDICAL SCI.","MBBS","EWS",40807.58
"BELGAUM INST. OF MEDICAL SCI.","MBBS","GN",80724.65
"BELGAUM INST. OF MEDICAL SCI.","MBBS","OBC",62690.67
"BELGAUM INST. OF MEDICAL SCI.","MBBS","SC",69189.98
"BELGAUM INST. OF MEDICAL SCI.","MBBS","ST",152592.705
"BHAARATH MEDICAL COLLEGE AND HOSPITAL","MBBS","EWS",817947.2
"BHAARATH MEDICAL COLLEGE AND HOSPITAL","MBBS","GN",901802.065
"BHAARATH MEDICAL COLLEGE AND HOSPITAL","MBBS","OBC",868139.705
"BHAARATH MEDICAL COLLEGE AND HOSPITAL","MBBS","SC",761572.725
"BHAARATH MEDICAL COLLEGE AND HOSPITAL","MBBS","ST",829981.93
"BIDAR INSTITUTE OF MEDICAL SCI.","MBBS","EWS",78453.665
"BIDAR INSTITUTE OF MEDICAL SCI.","MBBS","GN",158358.49
"BIDAR INSTITUTE OF MEDICAL SCI.","MBBS","GN PWD",532817.7
"BIDAR INSTITUTE OF MEDICAL SCI.","MBBS","OBC",155430.955
"BIDAR INSTITUTE OF MEDICAL SCI.","MBBS","SC",107673.395
"BIDAR INSTITUTE OF MEDICAL SCI.","MBBS","ST",452174.97
"BPS Govt. Med. College","MBBS","EWS",21732.305
"BPS Govt. Med. College","MBBS","GN",19516.155
"BPS Govt. Med. College","MBBS","GN PWD",447660.965
"BPS Govt. Med. College","MBBS","OBC",33203.61
"BPS Govt. Med. College","MBBS","OBC PWD",693854.585
"BPS Govt. Med. College","MBBS","SC",73109.9
"BPS Govt. Med. College","MBBS","ST",86168.85
"BUNDELKHAND MEDICAL COLLEGE","MBBS","EWS",21360.23
"BUNDELKHAND MEDICAL COLLEGE","MBBS","GN",8962.145
"BUNDELKHAND MEDICAL COLLEGE","MBBS","OBC",16361.43
"BUNDELKHAND MEDICAL COLLEGE","MBBS","OBC PWD",759216.83
"BUNDELKHAND MEDICAL COLLEGE","MBBS","SC",69903.49
"BUNDELKHAND MEDICAL COLLEGE","MBBS","ST",100874.055
"BURDWAN MEDICAL COLLEGE","MBBS","EWS",52359.99
"BURDWAN MEDICAL COLLEGE","MBBS","EWS PWD",946892.08
"BURDWAN MEDICAL COLLEGE","MBBS","GN",48975.105
"BURDWAN MEDICAL COLLEGE","MBBS","GN PWD",343030.32
"BURDWAN MEDICAL COLLEGE","MBBS","OBC",39274.63
"BURDWAN MEDICAL COLLEGE","MBBS","SC",90982.855
"BURDWAN MEDICAL COLLEGE","MBBS","SC PWD",825497.06
"BURDWAN MEDICAL COLLEGE","MBBS","ST",101520.83
"BV Deemed Uni. Med. College and Hos.","MBBS","EWS",878407.135
"BV Deemed Uni. Med. College and Hos.","MBBS","GN",1015356.445
"BV Deemed Uni. Med. College and Hos.","MBBS","OBC",979652.245
"BV Deemed Uni. Med. College and Hos.","MBBS","SC",437610.715
"BVDU Dental College and Hospital","BDS","EWS",917666.635
"BVDU Dental College and Hospital","BDS","GN",983527.86
"BVDU Dental College and Hospital","BDS","OBC",970705.03
"BVDU Dental College and Hospital","BDS","SC",998550.6
"Bangalore Medical College and Research Institute","MBBS","EWS",42045.875
"Bangalore Medical College and Research Institute","MBBS","GN",378608.81
"Bangalore Medical College and Research Institute","MBBS","GN PWD",216113.255
"Bangalore Medical College and Research Institute","MBBS","OBC",16827.89
"Bangalore Medical College and Research Institute","MBBS","OBC PWD",437859.265
"Bangalore Medical College and Research Institute","MBBS","SC",69111.465
"Bangalore Medical College and Research Institute","MBBS","ST",50422.945
"Barasat Government Medical College & Hospital","MBBS","EWS",32092.355
"Barasat Government Medical College & Hospital","MBBS","GN",373143.725
"Barasat Government Medical College & Hospital","MBBS","GN PWD",374551.025
"Barasat Government Medical College & Hospital","MBBS","OBC",22765.985
"Barasat Government Medical College & Hospital","MBBS","SC",96540.91
"Barasat Government Medical College & Hospital","MBBS","ST",109163.545
"Bharati Vidyapeeth DU Dental College and Hospt.","BDS","EWS",744007.32
"Bharati Vidyapeeth DU Dental College and Hospt.","BDS","GN",938940.955
"Bharati Vidyapeeth DU Dental College and Hospt.","BDS","OBC",813461.365
"Bharati Vidyapeeth DU Dental College and Hospt.","BDS","SC",1052126.235
"Bharati Vidyapeeth DU Medical College","MBBS","EWS",244917.215
"Bharati Vidyapeeth DU Medical College","MBBS","GN",588113.145
"Bharati Vidyapeeth DU Medical College","MBBS","OBC",690963.68
"Bharati Vidyapeeth DU Medical College","MBBS","SC",490429.69
"Bhima Bhoi Medical College and Hospital","MBBS","EWS",43496.9
"Bhima Bhoi Medical College and Hospital","MBBS","GN",63604.225
"Bhima Bhoi Medical College and Hospital","MBBS","OBC",78627.345
"Bhima Bhoi Medical College and Hospital","MBBS","SC",194319.79
"Bhima Bhoi Medical College and Hospital","MBBS","ST",112337.85
"Burdwan Dental College & Hospital","BDS","EWS",32653.565
"Burdwan Dental College & Hospital","BDS","OBC",43282.58
"Burdwan Dental College & Hospital","BDS","OBC PWD",1046184.645
"Burdwan Dental College & Hospital","BDS","SC",138842.045
"Burdwan Dental College & Hospital","BDS","ST",162577.285
"C. Institute of Medical Sciences","MBBS","EWS",16487.65
"C. Institute of Medical Sciences","MBBS","GN",13730.9
"C. Institute of Medical Sciences","MBBS","OBC",15260.71
"C. Institute of Medical Sciences","MBBS","SC",47121.995
"C. Institute of Medical Sciences","MBBS","ST",83151.915
"CALCUTTA NATIONAL MED COLL","MBBS","EWS",11097.045
"CALCUTTA NATIONAL MED COLL","MBBS","GN",6477.135
"CALCUTTA NATIONAL MED COLL","MBBS","OBC",8294.425
"CALCUTTA NATIONAL MED COLL","MBBS","OBC PWD",557246.025
"CALCUTTA NATIONAL MED COLL","MBBS","SC",44632.285
"CALCUTTA NATIONAL MED COLL","MBBS","ST",88109.585
"CHENGALPATTU MEDICAL COLL","MBBS","EWS",18075.795
"CHENGALPATTU MEDICAL COLL","MBBS","GN",5184.375
"CHENGALPATTU MEDICAL COLL","MBBS","GN PWD",587223.67
"CHENGALPATTU MEDICAL COLL","MBBS","OBC",7210.81
"CHENGALPATTU MEDICAL COLL","MBBS","SC",39079.955
