College,Course,Category,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
AIIMS-Bhopal,MBBS,OBC,1273.0,1235.0,1316.0,992.0,992.0
AIIMS-Bhopal,MBBS,OBC PWD,126254.0,68836.0,265375.0,118490.0,118490.0
AIIMS-Bhopal,MBBS,SC,9624.0,6706.0,8604.0,5850.0,5850.0
AIIMS-Bhopal,MBBS,SC PWD,,232998.0,153248.0,278509.0,278509.0
AIIMS-Bhopal,MBBS,ST,16114.0,19741.0,19468.0,15645.0,15645.0
AIIMS-Bhopal,MBBS,ST PWD,,191936.0,,421491.0,421491.0
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,EWS,,8675.0,11431.0,13216.0,13216.0
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,EWS PWD,,98150.0,,,
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,GN,9345.0,8036.0,8555.0,10286.0,10286.0
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,GN PWD,178121.0,,536409.0,,
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,OBC,,9425.0,10019.0,11196.0,11196.0
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,OBC PWD,,,,595151.0,595151.0
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,SC,54802.0,53241.0,58356.0,70390.0,70390.0
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,SC PWD,,428628.0,,,
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,ST,80853.0,,103420.0,93471.0,93471.0
ASSAM MEDICAL COLLEGE,MBBS,EWS,,11599.0,12922.0,16550.0,16550.0
ASSAM MEDICAL COLLEGE,MBBS,EWS PWD,,462434.0,695193.0,,
ASSAM MEDICAL COLLEGE,MBBS,GN,10630.0,10322.0,10566.0,11898.0,11898.0
ASSAM MEDICAL COLLEGE,MBBS,GN PWD,353342.0,133275.0,,696159.0,696159.0
ASSAM MEDICAL COLLEGE,MBBS,OBC,,12700.0,13243.0,14995.0,14995.0
ASSAM MEDICAL COLLEGE,MBBS,SC,57415.0,59374.0,66969.0,79924.0,79924.0
ASSAM MEDICAL COLLEGE,MBBS,SC PWD,,748637.0,,,
