College,Course,Category,Predicted_Rank_2025,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
BV Deemed Uni. Med. College and Hos.,MBBS,EWS,878407.135,,368170,547205,1049727,1049727
BV Deemed Uni. Med. College and Hos.,MBBS,GN,1015356.445,305408,384097,841396,1141824,1141824
BV Deemed Uni. Med. College and Hos.,MBBS,OBC,979652.245,,381196,790485,1149938,1149938
BV Deemed Uni. Med. College and Hos.,MBBS,SC,437610.715,,329952,404037,505837,505837
BVDU Dental College and Hospital,BDS,EWS,917666.635,,536254,645653,948213,948213
BVDU Dental College and Hospital,BDS,GN,983527.86,800834,743392,858003,990080,990080
BVDU Dental College and Hospital,BDS,OBC,970705.03,,767538,913962,988003,988003
BVDU Dental College and Hospital,BDS,SC,998550.6,,772869,983872,988870,988870
Bangalore Medical College and Research Institute,MBBS,EWS,42045.875,,3272,3357,4427,4427
Bangalore Medical College and Research Institute,MBBS,GN,378608.81,,957,1138,1345,1345
Bangalore Medical College and Research Institute,MBBS,GN PWD,216113.255,,,139982,160552,160552
Bangalore Medical College and Research Institute,MBBS,OBC,16827.89,,2601,2741,3371,3371
Bangalore Medical College and Research Institute,MBBS,OBC PWD,437859.265,,149710,,332797,332797
Bangalore Medical College and Research Institute,MBBS,SC,69111.465,,18646,27201,23453,23453
Bangalore Medical College and Research Institute,MBBS,ST,50422.945,,20940,11984,30135,30135
Barasat Government Medical College & Hospital,MBBS,EWS,32092.355,,,14532,16331,16331
Barasat Government Medical College & Hospital,MBBS,GN,373143.725,,,12136,12940,12940
Barasat Government Medical College & Hospital,MBBS,GN PWD,374551.025,,,,509938,509938
Barasat Government Medical College & Hospital,MBBS,OBC,22765.985,,,15322,16359,16359
Barasat Government Medical College & Hospital,MBBS,SC,96540.91,,,66945,59487,59487
Barasat Government Medical College & Hospital,MBBS,ST,109163.545,,,121278,119314,119314
Bharati Vidyapeeth DU Dental College and Hospt.,BDS,EWS,744007.32,,510362,564928,706474,706474
Bharati Vidyapeeth DU Dental College and Hospt.,BDS,GN,938940.955,530134,560464,849857,992657,992657
Bharati Vidyapeeth DU Dental College and Hospt.,BDS,OBC,813461.365,,532758,569959,752017,752017
Bharati Vidyapeeth DU Dental College and Hospt.,BDS,SC,1052126.235,,551058,661099,1111241,1111241
Bharati Vidyapeeth DU Medical College,MBBS,EWS,244917.215,,217712,257945,266891,266891
Bharati Vidyapeeth DU Medical College,MBBS,GN,588113.145,617895,227051,841884,941191,941191
Bharati Vidyapeeth DU Medical College,MBBS,OBC,690963.68,,226561,792021,791851,791851
Bharati Vidyapeeth DU Medical College,MBBS,SC,490429.69,,222505,257162,575786,575786
Bhima Bhoi Medical College and Hospital,MBBS,EWS,43496.9,,13964,16381,17619,17619
