College,Course,Category,Predicted_Rank_2025,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
Indira Gandhi Govt. Dental College,BDS,GN,85219.745,,,19362,27747,27747
Indira Gandhi Govt. Dental College,BDS,OBC,231443.08,,,26788,37895,37895
Indira Gandhi Govt. Dental College,BDS,SC,156883.99,,,91175,149295,149295
Indira Gandhi Institute of Dental Sciences,BDS,GN,1162441.33,,,,1143609,1143609
Indira Gandhi Institute of Dental Sciences,BDS,GN PWD,1226678.555,,,,1154964,1154964
Indira Gandhi Institute of Dental Sciences,BDS,OBC,1328139.26,,,,1355563,1355563
Indira Gandhi Institute of Dental Sciences,BDS,SC,1090719.705,,,,1239821,1239821
Indira Gandhi Institute of Dental Sciences,BDS,ST,802087.545,,,,752816,752816
Indira Gandhi Institute of Medical Sciences,MBBS,EWS,7724.54,,3689,5605,4988,4988
Indira Gandhi Institute of Medical Sciences,MBBS,EWS PWD,569957.21,,366083,,619358,619358
Indira Gandhi Institute of Medical Sciences,MBBS,GN,4591.045,4997,3648,4157,4070,4070
Indira Gandhi Institute of Medical Sciences,MBBS,OBC,14267.575,,4774,4907,5482,5482
Indira Gandhi Institute of Medical Sciences,MBBS,SC,48234.41,40303,37429,37300,33560,33560
Indira Gandhi Institute of Medical Sciences,MBBS,ST,87962.36,53511,67666,74611,82645,82645
Indira Gandhi Medical College & RI,MBBS,EWS,14162.03,,10924,14729,14857,14857
Indira Gandhi Medical College & RI,MBBS,GN,25103.935,8671,8864,8356,8929,8929
Indira Gandhi Medical College & RI,MBBS,OBC,19916.155,,11761,11764,12641,12641
Indira Gandhi Medical College & RI,MBBS,SC,173003.505,51096,65173,60757,76699,76699
Indira Gandhi Medical College & RI,MBBS,ST,105077.41,75044,85626,99222,100450,100450
Institute of Dental Sciences,BDS,EWS,932023.745,,503120,579420,986551,986551
Institute of Dental Sciences,BDS,GN,1008377.15,811836,760810,839699,1011150,1011150
Institute of Dental Sciences,BDS,OBC,1024635.69,,903600,1051474,958390,958390
Institute of Dental Sciences,BDS,SC,893454.305,,573680,261014,978840,978840
Institute of Medical Sciences & SUM Hospital,MBBS,EWS,264561.815,,,,164753,164753
Institute of Medical Sciences & SUM Hospital,MBBS,GN,931960.2,,,,904101,904101
Institute of Medical Sciences & SUM Hospital,MBBS,OBC,707395.17,,,,435438,435438
Institute of Medical Sciences and SUM Host.,MBBS,EWS,269829.585,,186039,272978,224209,224209
Institute of Medical Sciences and SUM Host.,MBBS,GN,1086175.53,562170,737365,870043,1144159,1144159
Institute of Medical Sciences and SUM Host.,MBBS,OBC,767677.73,,637951,271037,1015783,1015783
Institute of Medical Sciences and SUM Host.,MBBS,SC,1031054.035,,204025,1007886,1108717,1108717
J  R MEDICAL COLLEGE AND HOSPITAL,MBBS,EWS,487877.455,,,,541634,541634
J  R MEDICAL COLLEGE AND HOSPITAL,MBBS,GN,642194.505,,,,587824,587824
J  R MEDICAL COLLEGE AND HOSPITAL,MBBS,OBC,627459.485,,,,588114,588114
J  R MEDICAL COLLEGE AND HOSPITAL,MBBS,SC,628637.72,,,,543580,543580
J  R MEDICAL COLLEGE AND HOSPITAL,MBBS,ST,394461.095,,,,466306,466306
JAWAHAR LAL NEHRU MEDICAL,MBBS,EWS,127569.79,,4769,4373,5204,5204
JAWAHAR LAL NEHRU MEDICAL,MBBS,GN,42090.375,3830,3385,3875,4138,4138
JAWAHAR LAL NEHRU MEDICAL,MBBS,OBC,124218.48,,4188,4401,4591,4591
JAWAHAR LAL NEHRU MEDICAL,MBBS,OBC PWD,587923.56,,,,620620,620620
JAWAHAR LAL NEHRU MEDICAL,MBBS,SC,82542.595,29728,25113,35211,31198,31198
JAWAHAR LAL NEHRU MEDICAL,MBBS,SC PWD,829545.76,,,,935358,935358
JAWAHAR LAL NEHRU MEDICAL,MBBS,ST,78380.6,42932,44940,51004,40635,40635
JAWAHAR LAL NEHRU MEDICAL,MBBS,ST PWD,650271.43,,,,486535,486535
JHALAWAR MEDICAL COLLEGE,MBBS,EWS,54490.3,,5725,6564,7614,7614
JHALAWAR MEDICAL COLLEGE,MBBS,EWS PWD,1009609.025,,,,1166721,1166721
JHALAWAR MEDICAL COLLEGE,MBBS,GN,11561.1,5920,4922,5526,5886,5886
JHALAWAR MEDICAL COLLEGE,MBBS,OBC,48016.195,,5703,6144,7021,7021
JHALAWAR MEDICAL COLLEGE,MBBS,SC,39501.225,36849,39721,39297,37619,37619
JHALAWAR MEDICAL COLLEGE,MBBS,ST,79630.94,47882,47915,58949,56570,56570
JIPMER KARAIKAL,MBBS,EWS,254541.035,1876,210699,617813,248038,248038
JIPMER KARAIKAL,MBBS,GN,35931.975,9657,45829,44058,37068,37068
JIPMER KARAIKAL,MBBS,GN PWD,203971.39,79795,,,201258,201258
JIPMER KARAIKAL,MBBS,OBC,50470.185,1507,49453,50817,41862,41862
JIPMER KARAIKAL,MBBS,OBC PWD,434002.325,,,373928,410431,410431
JIPMER KARAIKAL,MBBS,SC,92469.19,13392,123239,123211,89312,89312
JIPMER KARAIKAL,MBBS,ST,91505.285,18784,38198,57541,62372,62372
JIPMER PUDUCHERRY,MBBS,EWS,181759.355,1106,203664,549727,155189,155189
JIPMER PUDUCHERRY,MBBS,EWS PWD,339742.75,,106345,368095,190011,190011
JIPMER PUDUCHERRY,MBBS,GN,21109.785,5299,24103,21454,19828,19828
JIPMER PUDUCHERRY,MBBS,GN PWD,146356.58,58084,49484,,107033,107033
JIPMER PUDUCHERRY,MBBS,OBC,46329.335,450,42658,38269,36804,36804
JIPMER PUDUCHERRY,MBBS,OBC PWD,416978.94,129560,211501,194842,258535,258535
JIPMER PUDUCHERRY,MBBS,SC,95037.19,5431,121277,112075,84283,84283
JIPMER PUDUCHERRY,MBBS,SC PWD,620752.385,183314,270170,368778,495793,495793
JIPMER PUDUCHERRY,MBBS,ST,322623.835,12551,906861,539482,702405,702405
JLN IMS,MBBS,EWS,67970.115,,12488,16173,19624,19624
JLN IMS,MBBS,GN,32734.405,11727,12466,13835,17709,17709
JLN IMS,MBBS,OBC,42553.915,,14335,15478,18857,18857
JLN IMS,MBBS,SC,124995.045,56966,68815,75562,78896,78896
JLN IMS,MBBS,ST PWD,1152200.965,,,,1257214,1257214
JLN Medical College,MBBS,EWS,833127.4,,356935,812353,984500,984500
JLN Medical College,MBBS,GN,959651.585,655014,457173,876665,1020457,1020457
JLN Medical College,MBBS,OBC,789662.73,,456710,698303,968710,968710
JLN Medical College,MBBS,SC,870297,,416296,623591,1004504,1004504
JLN Medical College,MBBS,ST,428767.83,,417894,437899,477934,477934
JSS Dental College,BDS,EWS,710861.895,,,,716247,716247
JSS Dental College,BDS,GN,854647.945,,,836932,853567,853567
JSS Dental College,BDS,OBC,881578.09,,,1047047,862940,862940
JSS Dental College,BDS,SC,786656.445,,,,793081,793081
JSS Dental College,BDS,ST,805925.16,,,796154,818309,818309
JSS Medical College,MBBS,GN,925258.12,692299,599354,852059,870311,870311
JSS Medical College,MBBS,OBC,776159.525,,633295,788839,639092,639092
JSS Medical College,MBBS,SC,643366.645,,,472084,843057,843057
Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College,MBBS,EWS,221585.055,,134080,130680,203475,203475
Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College,MBBS,GN,1084524.87,,156626,871867,1149931,1149931
Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College,MBBS,OBC,955373.475,,156360,809537,1349270,1349270
Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College,MBBS,SC,202663.81,,134065,384171,178760,178760
Jannayak Karpoori Thakur Medical college and Hospital,MBBS,EWS,37468.65,,,12708,14813,14813
Jannayak Karpoori Thakur Medical college and Hospital,MBBS,GN,405607.955,,,12619,12983,12983
Jannayak Karpoori Thakur Medical college and Hospital,MBBS,OBC,340602.015,,,13522,14283,14283
Jannayak Karpoori Thakur Medical college and Hospital,MBBS,SC,122936.08,,,70548,88127,88127
Jannayak Karpoori Thakur Medical college and Hospital,MBBS,ST,158017.8,,,111624,126456,126456
Jawahar Lal Nehru Medical College,MBBS,EWS,109507.585,,150099,154270,124152,124152
Jawahar Lal Nehru Medical College,MBBS,GN,848016.53,538426,764089,868211,869938,869938
Jawahar Lal Nehru Medical College,MBBS,OBC,734107.595,,816146,947356,864678,864678
Jawahar Lal Nehru Medical College,MBBS,SC,430748.27,,662949,154651,504905,504905
Jawahar Lal Nehru Medical College,MBBS,ST,444768.67,,,,680199,680199
Jawaharlal Nehru Institute of Dental Sciences,BDS,EWS,57040.535,,23933,,37609,37609
Jawaharlal Nehru Institute of Dental Sciences,BDS,OBC,97407.795,,25588,21800,39082,39082
Jawaharlal Nehru Institute of Dental Sciences,BDS,SC,118007.85,90479,,111143,113443,113443
Jawaharlal Nehru Institute of Dental Sciences,BDS,ST,179899.14,118447,,,187838,187838
Jawaharlal Nehru Medical College,MBBS,EWS,23055.065,,8208,8293,9154,9154
Jawaharlal Nehru Medical College,MBBS,EWS PWD,401515.89,,392505,378718,354630,354630
Jawaharlal Nehru Medical College,MBBS,GN,31226.04,8206,6484,8100,8553,8553
Jawaharlal Nehru Medical College,MBBS,GN PWD,408150.62,,491202,370635,395088,395088
Jawaharlal Nehru Medical College,MBBS,OBC,19600.185,,8773,9409,9464,9464
Jawaharlal Nehru Medical College,MBBS,OBC PWD,517929.805,,582810,228862,495208,495208
Jawaharlal Nehru Medical College,MBBS,SC,82248.57,53243,8809,60020,66543,66543
Jawaharlal Nehru Medical College,MBBS,ST,110248.59,73300,78110,96193,101111,101111
Jhargram Government Medical College and Hospital,MBBS,EWS,27586.015,,,,19108,19108
Jhargram Government Medical College and Hospital,MBBS,GN,19932.025,,,,16872,16872
Jhargram Government Medical College and Hospital,MBBS,GN PWD,642315.83,,,,731206,731206
Jhargram Government Medical College and Hospital,MBBS,OBC,15140.365,,,,18279,18279
Jhargram Government Medical College and Hospital,MBBS,SC,85364.175,,,,85996,85996
Jhargram Government Medical College and Hospital,MBBS,ST,85268.11,,,,79221,79221
Jorhat Medical College and Hospital,MBBS,EWS,25154.335,,12596,16603,20305,20305
Jorhat Medical College and Hospital,MBBS,EWS PWD,441148.345,,,,450745,450745
Jorhat Medical College and Hospital,MBBS,GN,16058.16,12153,11809,14435,16562,16562
Jorhat Medical College and Hospital,MBBS,OBC,17193.385,,13766,16098,17586,17586
Jorhat Medical College and Hospital,MBBS,SC,82361.525,60626,70838,79107,82725,82725
Jorhat Medical College and Hospital,MBBS,ST,98550.97,86415,92349,87398,102360,102360
K M Shah Dental Collegel,BDS,EWS,1012101.995,,622072,825473,1098368,1098368
K M Shah Dental Collegel,BDS,GN,1159883.07,679501,741429,842608,1164135,1164135
K M Shah Dental Collegel,BDS,OBC,1259931.41,,794398,1031826,1297196,1297196
K M Shah Dental Collegel,BDS,SC,1132431.825,,,1003463,929327,929327
K M Shah Dental Collegel,BDS,ST,1199415.285,,,872076,1318946,1318946
K.A.P. VISWANATHAM Govt Medical College,MBBS,EWS,38237.48,,,,21209,21209
K.A.P. VISWANATHAM Govt Medical College,MBBS,GN,35565.52,,,,7233,7233
K.A.P. VISWANATHAM Govt Medical College,MBBS,OBC,47906.745,,,,8446,8446
K.A.P. VISWANATHAM Govt Medical College,MBBS,OBC PWD,789594.535,,,,876047,876047
K.A.P. VISWANATHAM Govt Medical College,MBBS,SC,65136.81,,,,56921,56921
K.A.P. VISWANATHAM Govt Medical College,MBBS,ST,109778.38,,,,114066,114066
K.S Hegde Medical Academy,MBBS,EWS,140660.475,,105573,138759,151796,151796
K.S Hegde Medical Academy,MBBS,GN,622695.045,666614,661179,473179,927470,927470
K.S Hegde Medical Academy,MBBS,OBC,368933.94,,921383,448791,709694,709694
K.S Hegde Medical Academy,MBBS,SC,90163.465,,,,99910,99910
KANYAKUMARI GOVT. MED. COLL.,MBBS,EWS,32425.625,,14503,16027,21639,21639
KANYAKUMARI GOVT. MED. COLL.,MBBS,GN,50350.59,6591,7518,10842,8267,8267
KANYAKUMARI GOVT. MED. COLL.,MBBS,GN PWD,538333.785,,,,696523,696523
KANYAKUMARI GOVT. MED. COLL.,MBBS,OBC,72093.345,,9645,12122,8750,8750
KANYAKUMARI GOVT. MED. COLL.,MBBS,SC,76528.36,49892,73943,75435,72320,72320
KARNATAK INST. OF MEDICAL SC.,MBBS,EWS,16232.845,,8887,8453,12761,12761
KARNATAK INST. OF MEDICAL SC.,MBBS,GN,11034.605,5657,4197,4672,5184,5184
KARNATAK INST. OF MEDICAL SC.,MBBS,GN PWD,354419.715,267446,,,268258,268258
KARNATAK INST. OF MEDICAL SC.,MBBS,OBC,8787.115,,7760,8070,9336,9336
KARNATAK INST. OF MEDICAL SC.,MBBS,SC,52585.14,45709,48561,44687,49680,49680
KARNATAK INST. OF MEDICAL SC.,MBBS,ST,58029.365,59511,47205,26438,61785,61785
KGMC,MBBS,EWS,8064.615,,1712,1844,2556,2556
KGMC,MBBS,GN,7332.7,1240,987,1026,1352,1352
KGMC,MBBS,OBC,2892.49,,1949,2029,1925,1925
KGMC,MBBS,OBC PWD,366431.37,,,,289756,289756
KGMC,MBBS,SC,20622.23,13523,18279,18013,14795,14795
KGMC,MBBS,ST,34464.045,21253,32651,46774,27545,27545
KLE VK Inst. of Dental Scie. Belagavi,BDS,EWS,612466.085,,620647,700097,484492,484492
KLE VK Inst. of Dental Scie. Belagavi,BDS,GN,764297.03,759215,765769,760666,752414,752414
KLE VK Inst. of Dental Scie. Belagavi,BDS,OBC,817572.045,,924101,741894,761314,761314
KLE VK Inst. of Dental Scie. Belagavi,BDS,SC,731734.23,,670955,511340,704238,704238
KLE VK Inst. of Dental Scie. Belagavi,BDS,ST,781385.54,,760720,417747,752573,752573
KURNOOL MEDICAL COLLEGE,MBBS,EWS,15425.155,,10579,11447,12365,12365
KURNOOL MEDICAL COLLEGE,MBBS,GN,14977.83,8148,9629,7860,9951,9951
KURNOOL MEDICAL COLLEGE,MBBS,OBC,10438.89,,12095,12843,13384,13384
KURNOOL MEDICAL COLLEGE,MBBS,OBC PWD,526367.655,,483355,,532611,532611
KURNOOL MEDICAL COLLEGE,MBBS,SC,66298.27,56882,54242,49923,57773,57773
KURNOOL MEDICAL COLLEGE,MBBS,ST,84354.98,52288,71620,85041,88632,88632
Kakatiya Medical College Warangal,MBBS,EWS,22230.825,,11301,14429,14608,14608
Kakatiya Medical College Warangal,MBBS,GN,14902.25,9637,8540,9598,9792,9792
Kakatiya Medical College Warangal,MBBS,GN PWD,577238.35,427275,,,212464,212464
Kakatiya Medical College Warangal,MBBS,OBC,25441.875,,12471,13535,12904,12904
Kakatiya Medical College Warangal,MBBS,SC,66495.795,47152,60101,51757,57792,57792
Kakatiya Medical College Warangal,MBBS,SC PWD,920404.365,,,,1024283,1024283
Kakatiya Medical College Warangal,MBBS,ST,76005.745,41290,64283,67167,66778,66778
Kakatiya Medical College Warangal,MBBS,ST PWD,821478.305,,,,972798,972798
Kalinga Institute of Dental Sciences,BDS,EWS,736973.12,,,336351,589815,589815
Kalinga Institute of Dental Sciences,BDS,GN,1093426.035,,,874180,1165157,1165157
Kalinga Institute of Dental Sciences,BDS,GN PWD,1178536.815,,,,1144430,1144430
Kalinga Institute of Dental Sciences,BDS,OBC,1343388.075,,,935939,1388235,1388235
Kalinga Institute of Dental Sciences,BDS,SC,1201120.13,,,930630,1212287,1212287
Kalinga Institute of Dental Sciences,BDS,ST,1209383.945,,,1050534,1212423,1212423
Kalinga Institute of Dental Sciences,MBBS,EWS,170891.115,,,223143,183869,183869
Kalinga Institute of Dental Sciences,MBBS,GN,922008.85,,,843457,1063742,1063742
Kalinga Institute of Dental Sciences,MBBS,OBC,591348.46,,,914256,1005437,1005437
Kalinga Institute of Dental Sciences,MBBS,SC,611015.765,,,547790,675564,675564
Kalpana Chawla Govt. Medical College,MBBS,EWS,19353.605,,6217,8288,8070,8070
Kalpana Chawla Govt. Medical College,MBBS,GN,49281.83,4572,6156,7377,6570,6570
Kalpana Chawla Govt. Medical College,MBBS,OBC,15635.37,,8580,9913,9406,9406
Kalpana Chawla Govt. Medical College,MBBS,SC,60062.34,33054,46647,53697,44073,44073
Kalpana Chawla Govt. Medical College,MBBS,ST,98891.11,54949,81323,101993,96858,96858
Kalyan Singh Government Medical College,MBBS,EWS,13554.69,,,,14777,14777
Kalyan Singh Government Medical College,MBBS,GN,42853.065,,,,11906,11906
Kalyan Singh Government Medical College,MBBS,OBC,13393.76,,,,13541,13541
Kalyan Singh Government Medical College,MBBS,OBC PWD,691925.845,,,,662936,662936
Kalyan Singh Government Medical College,MBBS,SC,71895,,,,75352,75352
Kalyan Singh Government Medical College,MBBS,ST,103373.645,,,,105440,105440
Karwar Institute of Medical Sciences,MBBS,EWS,19160.65,,13491,16207,18752,18752
Karwar Institute of Medical Sciences,MBBS,GN,64718.96,10290,12443,13066,13569,13569
Karwar Institute of Medical Sciences,MBBS,OBC,15508.44,,13955,15442,15241,15241
Karwar Institute of Medical Sciences,MBBS,OBC PWD,880720.605,,,,952055,952055
Karwar Institute of Medical Sciences,MBBS,SC,92517.175,64988,73970,82197,96721,96721
Karwar Institute of Medical Sciences,MBBS,ST,99927.14,82464,81232,78246,87667,87667
Kasturba Medical College,MBBS,EWS,27124.955,,51983,38272,28267,28267
Kasturba Medical College,MBBS,GN,321878.35,617363,678410,217638,434791,434791
Kasturba Medical College,MBBS,OBC,34804.52,,833990,46260,39847,39847
Kodagu Institute of Medical Sciences,MBBS,EWS,19991.545,,13909,16410,18381,18381
Kodagu Institute of Medical Sciences,MBBS,GN,68442.145,9222,12341,13906,12594,12594
Kodagu Institute of Medical Sciences,MBBS,OBC,17211.625,,13471,15461,14456,14456
Kodagu Institute of Medical Sciences,MBBS,SC,99260.71,68161,73576,82805,98804,98804
Kodagu Institute of Medical Sciences,MBBS,ST,95558.91,,60605,86483,92985,92985
Kokrajhar Medical College & Hospital Rangalikhata,MBBS,EWS,21113.95,,,,21770,21770
Kokrajhar Medical College & Hospital Rangalikhata,MBBS,GN,30431,,,,18970,18970
Kokrajhar Medical College & Hospital Rangalikhata,MBBS,OBC,18954.055,,,,20060,20060
Kokrajhar Medical College & Hospital Rangalikhata,MBBS,SC,106877.79,,,,103319,103319
Kokrajhar Medical College & Hospital Rangalikhata,MBBS,ST,97225.075,,,,107149,107149
Koppal Institute of Medical Sciences,MBBS,EWS,25362.945,,13522,16721,19660,19660
Koppal Institute of Medical Sciences,MBBS,GN,57338.5,10520,12728,14494,15144,15144
Koppal Institute of Medical Sciences,MBBS,GN PWD,663861.83,341587,,589021,609109,609109
Koppal Institute of Medical Sciences,MBBS,OBC,36342.995,,13813,15934,16314,16314
Koppal Institute of Medical Sciences,MBBS,SC,120576.23,68476,74956,82152,100367,100367
Koppal Institute of Medical Sciences,MBBS,ST,93694.03,77405,77467,85422,119449,119449
Krishna Inst. of Med. Scie.,MBBS,EWS,440623.18,,430965,705403,979667,979667
Krishna Inst. of Med. Scie.,MBBS,GN,931489.555,607860,757857,857306,1072449,1072449
Krishna Inst. of Med. Scie.,MBBS,OBC,742581.14,,651846,745056,1075171,1075171
Krishna Inst. of Med. Scie.,MBBS,SC,609843.41,,446873,429649,1014911,1014911
L.L.R.M. MEDICAL COLLEGE,MBBS,EWS,90047.455,,5249,4429,5547,5547
L.L.R.M. MEDICAL COLLEGE,MBBS,EWS PWD,492916.045,,,,533276,533276
L.L.R.M. MEDICAL COLLEGE,MBBS,GN,201756.755,5078,4489,4230,4369,4369
L.L.R.M. MEDICAL COLLEGE,MBBS,OBC,153589.965,,5887,6175,6009,6009
L.L.R.M. MEDICAL COLLEGE,MBBS,SC,78681.63,39614,41277,39507,39540,39540
L.L.R.M. MEDICAL COLLEGE,MBBS,ST,74924.185,59401,70816,63028,74850,74850
LOKMANYA TILAK  MUNICIPAL M C,MBBS,EWS,19474.525,,3846,4053,5360,5360
LOKMANYA TILAK  MUNICIPAL M C,MBBS,EWS PWD,464162.5,,107676,,402140,402140
LOKMANYA TILAK  MUNICIPAL M C,MBBS,GN,49513.465,2516,2147,2573,2857,2857
LOKMANYA TILAK  MUNICIPAL M C,MBBS,OBC,146579.035,,5312,5508,4937,4937
LOKMANYA TILAK  MUNICIPAL M C,MBBS,OBC PWD,450940.455,,,432708,499244,499244
LOKMANYA TILAK  MUNICIPAL M C,MBBS,SC,136895.325,27622,39865,35966,35718,35718
LOKMANYA TILAK  MUNICIPAL M C,MBBS,SC PWD,668417.535,289278,,,843002,843002
LOKMANYA TILAK  MUNICIPAL M C,MBBS,ST,78615.78,56151,70138,72401,51799,51799
Lady Hardinge Medical College,MBBS,EWS,54153.075,12023,125620,28290,65397,65397
Lady Hardinge Medical College,MBBS,GN,370979.975,6329,681225,466555,387808,387808
Lady Hardinge Medical College,MBBS,GN PWD,820247.255,544724,834119,717152,910562,910562
Lady Hardinge Medical College,MBBS,OBC,758203.37,18005,35452,611420,1188067,1188067
Lady Hardinge Medical College,MBBS,OBC PWD,171835.16,811773,82819,393501,69614,69614
Lady Hardinge Medical College,MBBS,SC,352102.76,58250,281148,374221,397734,397734
Lady Hardinge Medical College,MBBS,SC PWD,480254.65,,,,366292,366292
Lady Hardinge Medical College,MBBS,ST,157436.07,169102,180080,174028,172215,172215
Lady Hardinge Medical College,MBBS,ST PWD,694888.465,,,,631966,631966
Lakhimpur Medical College,MBBS,EWS,26138.18,,,16753,20879,20879
Lakhimpur Medical College,MBBS,GN,64987.555,,,15701,18283,18283
Lakhimpur Medical College,MBBS,OBC,94718.895,,,16877,19132,19132
Lakhimpur Medical College,MBBS,SC,144874.72,,,86441,100239,100239
Lakhimpur Medical College,MBBS,ST,107995.975,,,119783,104465,104465
Lt. B R K Government Medical College,MBBS,EWS,17202.465,,12724,14134,16259,16259
Lt. B R K Government Medical College,MBBS,GN,20773.625,11241,12076,11919,13041,13041
Lt. B R K Government Medical College,MBBS,GN PWD,732242.31,,,,693329,693329
Lt. B R K Government Medical College,MBBS,OBC,27182.925,,13417,12938,15684,15684
Lt. B R K Government Medical College,MBBS,OBC PWD,540724.825,,305037,463136,780826,780826
Lt. B R K Government Medical College,MBBS,SC,83829.985,62163,66567,72999,82756,82756
Lt. B R K Government Medical College,MBBS,ST,99209.46,72753,97486,105539,96973,96973
Lt. L A M Govt. Medical College,MBBS,EWS,15282.34,,,10275,15612,15612
Lt. L A M Govt. Medical College,MBBS,GN,18028.825,10073,10349,10290,12292,12292
Lt. L A M Govt. Medical College,MBBS,OBC,20099.61,,10900,12286,14320,14320
Lt. L A M Govt. Medical College,MBBS,SC,86458.685,54088,62754,66895,87943,87943
Lt. L A M Govt. Medical College,MBBS,ST,101923.22,82791,,106100,105187,105187
M.G.D.C. & HOSPITAL,BDS,EWS,45732.185,,25600,25361,39433,39433
M.G.D.C. & HOSPITAL,BDS,GN,51149.26,18707,11992,18600,28026,28026
M.G.D.C. & HOSPITAL,BDS,OBC,102172.22,,22919,22710,36104,36104
M.G.D.C. & HOSPITAL,BDS,SC,141153.62,55295,83476,110309,129654,129654
M.G.D.C. & HOSPITAL,BDS,ST,178273.01,,,150149,176430,176430
M.G.M. MEDICAL COLLEGE,MBBS,EWS,6128.02,,4303,5448,5533,5533
M.G.M. MEDICAL COLLEGE,MBBS,GN,4241.735,3270,3172,3649,3732,3732
M.G.M. MEDICAL COLLEGE,MBBS,OBC,6217.64,,4859,5599,5458,5458
M.G.M. MEDICAL COLLEGE,MBBS,OBC PWD,633377.42,,318027,652553,588247,588247
M.G.M. MEDICAL COLLEGE,MBBS,SC,39899.955,33178,40111,44611,36663,36663
M.G.M. MEDICAL COLLEGE,MBBS,SC PWD,920841.085,,,,1013608,1013608
M.G.M. MEDICAL COLLEGE,MBBS,ST,61308.795,55613,61807,72263,55065,55065
M.G.M. MEDICAL COLLEGE,MBBS,ST PWD,883980.475,,,,964428,964428
M.P. SHAH MEDICAL COLLEGE,MBBS,EWS,6771.58,,5433,7025,7014,7014
M.P. SHAH MEDICAL COLLEGE,MBBS,GN,4933.75,5640,4349,4924,5211,5211
M.P. SHAH MEDICAL COLLEGE,MBBS,OBC,6707.93,,6420,6810,6815,6815
M.P. SHAH MEDICAL COLLEGE,MBBS,OBC PWD,752219.935,,,879275,777385,777385
M.P. SHAH MEDICAL COLLEGE,MBBS,SC,40722.85,41699,48978,48191,43951,43951
M.P. SHAH MEDICAL COLLEGE,MBBS,ST,56615.325,68049,68890,67960,81075,81075
MADRAS MEDICAL COLLEGE,MBBS,EWS,5334.31,,2709,3951,4921,4921
MADRAS MEDICAL COLLEGE,MBBS,GN,1714.565,841,755,797,944,944
MADRAS MEDICAL COLLEGE,MBBS,OBC,4254.945,,979,1294,1241,1241
MADRAS MEDICAL COLLEGE,MBBS,SC,17432.625,8533,12242,12027,10376,10376
MADRAS MEDICAL COLLEGE,MBBS,ST,53532.085,19311,55190,60787,48469,48469
MADURAI MEDICAL COLLEGE,MBBS,EWS,11233.385,,11046,10943,12089,12089
MADURAI MEDICAL COLLEGE,MBBS,EWS PWD,933011.76,,,,977340,977340
MADURAI MEDICAL COLLEGE,MBBS,GN,3770.465,4407,3140,4792,4456,4456
MADURAI MEDICAL COLLEGE,MBBS,OBC,5669.405,,5465,7022,5612,5612
MADURAI MEDICAL COLLEGE,MBBS,OBC PWD,510258.185,,,443814,463936,463936
MADURAI MEDICAL COLLEGE,MBBS,SC,34870.9,34020,38283,35703,37509,37509
MADURAI MEDICAL COLLEGE,MBBS,ST,89985.265,69418,83337,93245,96009,96009
MAHARAJA K.C. GAJAPATI M.C.,MBBS,EWS,9878.735,,8049,10293,9433,9433
MAHARAJA K.C. GAJAPATI M.C.,MBBS,GN,5401.83,7081,5528,7055,5403,5403
MAHARAJA K.C. GAJAPATI M.C.,MBBS,GN PWD,480220.8,305657,,510014,471646,471646
MAHARAJA K.C. GAJAPATI M.C.,MBBS,OBC,8375.435,,7654,9493,8475,8475
MAHARAJA K.C. GAJAPATI M.C.,MBBS,SC,41623.83,30599,43565,47188,41993,41993
MAHARAJA K.C. GAJAPATI M.C.,MBBS,ST,99687.695,88725,89988,111214,102431,102431
MAHARANI LAXMI BAI MEDICAL COLL,MBBS,EWS,8810.08,,6440,7388,7875,7875
MAHARANI LAXMI BAI MEDICAL COLL,MBBS,GN,5608.655,6405,5757,5653,5589,5589
MAHARANI LAXMI BAI MEDICAL COLL,MBBS,GN PWD,448196.5,,,,423415,423415
MAHARANI LAXMI BAI MEDICAL COLL,MBBS,OBC,7904.53,,7243,7672,7532,7532
MAHARANI LAXMI BAI MEDICAL COLL,MBBS,SC,54918.505,45045,49518,49360,55624,55624
MAHARANI LAXMI BAI MEDICAL COLL,MBBS,ST,91889.44,67058,69953,82040,89711,89711
MAHARSHI DEVRAHA BABA AUTONOMOUS STATE. MEDICAL COLLEGE,MBBS,EWS,13405.04,,12822,13734,14129,14129
MAHARSHI DEVRAHA BABA AUTONOMOUS STATE. MEDICAL COLLEGE,MBBS,GN,11111.53,,11076,11203,11706,11706
MAHARSHI DEVRAHA BABA AUTONOMOUS STATE. MEDICAL COLLEGE,MBBS,GN PWD,621422.085,,,724805,638119,638119
MAHARSHI DEVRAHA BABA AUTONOMOUS STATE. MEDICAL COLLEGE,MBBS,OBC,13280.94,,12021,12597,13798,13798
MAHARSHI DEVRAHA BABA AUTONOMOUS STATE. MEDICAL COLLEGE,MBBS,SC,79638.29,,68253,72827,82204,82204
MAHARSHI DEVRAHA BABA AUTONOMOUS STATE. MEDICAL COLLEGE,MBBS,ST,112771.885,,93421,103504,126634,126634
MALDA MED. COLLEGE,MBBS,EWS,15335.1,,11220,13702,16004,16004
