College,Course,Category,Predicted_Rank_2025,Allotted_Rank_2023,Allotted_Rank_2024
"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND
TECHNOLOGY, RAJKOT",ELECTRICAL ENGINEERING,OPEN,49418,20890.0,32130.0
"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND
TECHNOLOGY, RAJKOT",INFORMATION TECHNOLOGY,OPEN,46035,29801.0,37039.0
"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND
TECHNOLOGY, RAJKOT",MECHANICAL ENGINEERING,OPEN,29996,25252.0,27522.0
"B.H.GARDI COLLEGE OF ENGG. & TECHNOLOGY , RAJKOT",COMPUTER ENGINEERING,OPEN,50251,29861.0,38737.0
"B.H.GARDI COLLEGE OF ENGG. & TECHNOLOGY , RAJKOT",INFORMATION TECHNOLOGY,OPEN,43044,29627.0,35711.0
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT",AERONAUTICAL ENGINEERING,OPEN,45255,29059.0,36264.0
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT",CHEMICAL ENGINEERING,OPEN,53687,27592.0,38488.0
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT",COMPUTER ENGINEERING,OPEN,47742,30109.0,37914.0
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT",INFORMATION TECHNOLOGY,OPEN,48748,30088.0,38298.0
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT",NANO TECHNOLOGY,OPEN,46605,29789.0,37260.0
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT",PHARMACEUTICAL ENGINEERING,OPEN,17468,29250.0,22604.0
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT",PHARMACEUTICAL ENGINEERING,OPEN-EWS,17468,29708.0,22604.0
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT",ROBOTICS AND AUTOMATION,OPEN,45546,27013.0,35076.0
"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT",AUTOMOBILE ENGINEERING,OPEN,42494,22263.0,30758.0
"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT",CIVIL ENGINEERING,OPEN,34987,29113.0,31915.0
"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT",COMPUTER ENGINEERING,OPEN,49343,30491.0,38788.0
"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT","ELECTRONICS & COMMUNICATION
ENGG.",OPEN,42548,29103.0,35189.0
"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT",ELECTRONICS ENGINEERING,OPEN,100085,14753.0,38426.0
"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT",MECHANICAL ENGINEERING,OPEN,68677,18616.0,35756.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,ESM,29364,30053.0,24449.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,OPEN,32205,22327.0,26815.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,OPEN-EWS,46704,30285.0,38887.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,SC,46304,29143.0,38554.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,SEBC,32205,28462.0,26815.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,ST,46704,30447.0,38887.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,ESM,17795,3153.0,7403.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,OPEN,4622,800.0,1923.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,OPEN-EWS,11461,1059.0,4768.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,SC,11461,3370.0,4768.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,SEBC,4622,1459.0,1923.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,ST,37042,17444.0,15410.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,ESM,21166,19817.0,13896.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,OPEN,29353,12652.0,19271.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,OPEN-EWS,42993,16753.0,28226.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,SC,42993,22605.0,28226.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,SEBC,29353,19707.0,19271.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,ST,59054,30201.0,38771.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRONICS ENGINEERING,ESM,28113,15128.0,19836.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRONICS ENGINEERING,OPEN,23159,11529.0,16340.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRONICS ENGINEERING,OPEN-EWS,39812,14959.0,28090.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRONICS ENGINEERING,SC,39812,20090.0,28090.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRONICS ENGINEERING,SEBC,23159,28480.0,16340.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRONICS ENGINEERING,ST,39812,22846.0,28090.0
